WY,Species,LifeStage,Tolerance,daysExceedanceTol,daysExceedanceOpt,Suboptimum
2010,Asian Clam,Undifferentiated,37,64,64,30
2011,Asian Clam,Undifferentiated,37,70,70,30
2012,Asian Clam,Undifferentiated,37,61,61,30
2013,Asian Clam,Undifferentiated,37,56,59,30
2014,Asian Clam,Undifferentiated,37,51,51,30
2015,Asian Clam,Undifferentiated,37,22,22,30
2016,Asian Clam,Undifferentiated,37,48,48,30
2017,Asian Clam,Undifferentiated,37,74,74,30
2018,Asian Clam,Undifferentiated,37,34,34,30
2019,Asian Clam,Undifferentiated,37,41,41,30
2010,Brazilian Waterweed,Undifferentiated,30,64,77,26
2011,Brazilian Waterweed,Undifferentiated,30,70,77,26
2012,Brazilian Waterweed,Undifferentiated,30,61,97,26
2013,Brazilian Waterweed,Undifferentiated,30,59,107,26
2014,Brazilian Waterweed,Undifferentiated,30,51,119,26
2015,Brazilian Waterweed,Undifferentiated,30,22,86,26
2016,Brazilian Waterweed,Undifferentiated,30,48,103,26
2017,Brazilian Waterweed,Undifferentiated,30,74,95,26
2018,Brazilian Waterweed,Undifferentiated,30,34,89,26
2019,Brazilian Waterweed,Undifferentiated,30,41,76,26
2010,Chinook Salmon,Adult,23,81,173,21
2011,Chinook Salmon,Adult,23,49,150,21
2012,Chinook Salmon,Adult,23,83,173,21
2013,Chinook Salmon,Adult,23,91,186,21
2014,Chinook Salmon,Adult,23,156,200,21
2015,Chinook Salmon,Adult,23,121,174,21
2016,Chinook Salmon,Adult,23,65,173,21
2017,Chinook Salmon,Adult,23,120,158,21
2018,Chinook Salmon,Adult,23,48,125,21
2019,Chinook Salmon,Adult,23,86,148,21
2010,Chinook Salmon,Juvenile,24,140,296,16
2011,Chinook Salmon,Juvenile,24,142,296,16
2012,Chinook Salmon,Juvenile,24,147,284,16
2013,Chinook Salmon,Juvenile,24,157,302,16
2014,Chinook Salmon,Juvenile,24,171,299,16
2015,Chinook Salmon,Juvenile,24,127,288,16
2016,Chinook Salmon,Juvenile,24,154,305,16
2017,Chinook Salmon,Juvenile,24,171,325,16
2018,Chinook Salmon,Juvenile,24,126,266,16
2019,Chinook Salmon,Juvenile,24,131,273,16
2010,Chinook Salmon,Larvae,16.7,189,260,13
2011,Chinook Salmon,Larvae,16.7,184,235,13
2012,Chinook Salmon,Larvae,16.7,177,247,13
2013,Chinook Salmon,Larvae,16.7,203,255,13
2014,Chinook Salmon,Larvae,16.7,193,252,13
2015,Chinook Salmon,Larvae,16.7,187,253,13
2016,Chinook Salmon,Larvae,16.7,202,250,13
2017,Chinook Salmon,Larvae,16.7,205,260,13
2018,Chinook Salmon,Larvae,16.7,158,221,13
2019,Chinook Salmon,Larvae,16.7,166,228,13
2010,Delta Smelt,Adult,26.5,72,227,19
2011,Delta Smelt,Adult,26.5,71,227,19
2012,Delta Smelt,Adult,26.5,85,250,19
2013,Delta Smelt,Adult,26.5,99,259,19
2014,Delta Smelt,Adult,26.5,104,238,19
2015,Delta Smelt,Adult,26.5,65,242,19
2016,Delta Smelt,Adult,26.5,91,266,19
2017,Delta Smelt,Adult,26.5,81,255,19
2018,Delta Smelt,Adult,26.5,79,208,19
2019,Delta Smelt,Adult,26.5,54,219,19
2010,Delta Smelt,Juvenile,27,68,199,20
2011,Delta Smelt,Juvenile,27,69,209,20
2012,Delta Smelt,Juvenile,27,77,232,20
2013,Delta Smelt,Juvenile,27,85,236,20
2014,Delta Smelt,Juvenile,27,86,226,20
2015,Delta Smelt,Juvenile,27,46,221,20
2016,Delta Smelt,Juvenile,27,79,240,20
2017,Delta Smelt,Juvenile,27,75,232,20
2018,Delta Smelt,Juvenile,27,52,185,20
2019,Delta Smelt,Juvenile,27,46,200,20
2010,Delta Smelt,Larvae,27.6,33,165,20
2011,Delta Smelt,Larvae,27.6,59,184,20
2012,Delta Smelt,Larvae,27.6,38,192,20
2013,Delta Smelt,Larvae,27.6,55,212,20
2014,Delta Smelt,Larvae,27.6,40,198,20
2015,Delta Smelt,Larvae,27.6,29,190,20
2016,Delta Smelt,Larvae,27.6,43,191,20
2017,Delta Smelt,Larvae,27.6,54,208,20
2018,Delta Smelt,Larvae,27.6,21,165,20
2019,Delta Smelt,Larvae,27.6,37,190,20
2010,Giant Reed EAV,Undifferentiated,32,64,64,30
2011,Giant Reed EAV,Undifferentiated,32,70,70,30
2012,Giant Reed EAV,Undifferentiated,32,61,61,30
2013,Giant Reed EAV,Undifferentiated,32,56,59,30
2014,Giant Reed EAV,Undifferentiated,32,51,51,30
2015,Giant Reed EAV,Undifferentiated,32,22,22,30
2016,Giant Reed EAV,Undifferentiated,32,48,48,30
2017,Giant Reed EAV,Undifferentiated,32,74,74,30
2018,Giant Reed EAV,Undifferentiated,32,34,34,30
2019,Giant Reed EAV,Undifferentiated,32,41,41,30
2010,Green Sturgeon,Juvenile,30,60,189,20
2011,Green Sturgeon,Juvenile,30,53,187,20
2012,Green Sturgeon,Juvenile,30,60,230,20
2013,Green Sturgeon,Juvenile,30,54,235,20
2014,Green Sturgeon,Juvenile,30,50,220,20
2015,Green Sturgeon,Juvenile,30,21,216,20
2016,Green Sturgeon,Juvenile,30,42,235,20
2017,Green Sturgeon,Juvenile,30,45,194,20
2018,Green Sturgeon,Juvenile,30,29,184,20
2019,Green Sturgeon,Juvenile,30,33,192,20
2010,Hitch,Adult,38,64,64,29
2011,Hitch,Adult,38,69,69,29
2012,Hitch,Adult,38,61,61,29
2013,Hitch,Adult,38,56,57,29
2014,Hitch,Adult,38,50,50,29
2015,Hitch,Adult,38,22,22,29
2016,Hitch,Adult,38,46,46,29
2017,Hitch,Adult,38,74,74,29
2018,Hitch,Adult,38,27,27,29
2019,Hitch,Adult,38,41,41,29
2010,Largemouth Bass,Adult,33,64,NA,NA
2011,Largemouth Bass,Adult,33,70,NA,NA
2012,Largemouth Bass,Adult,33,61,NA,NA
