Region2,Season,emmean,SE,df,asymp.LCL,asymp.UCL,.group
Central,Wet Season,13.802,1.053,Inf,11.737,15.866,B
Confluence,Wet Season,13.296,1.053,Inf,11.231,15.361,A
NorthDelta,Wet Season,13.024,1.058,Inf,10.95,15.098,A
South,Wet Season,13.505,1.054,Inf,11.439,15.571,AB
SuisunBay,Wet Season,13.446,1.059,Inf,11.37,15.522,AB
SuisunMarsh,Wet Season,13.56,1.056,Inf,11.489,15.63,AB
Central,Dry Season,22.611,1.245,Inf,20.17,25.052,F
Confluence,Dry Season,21.219,1.245,Inf,18.778,23.66,D
NorthDelta,Dry Season,21.156,1.25,Inf,18.707,23.606,D
South,Dry Season,21.738,1.246,Inf,19.296,24.181,E
SuisunBay,Dry Season,20.225,1.251,Inf,17.774,22.676,C
SuisunMarsh,Dry Season,20.942,1.248,Inf,18.496,23.388,D
